en,zh
6:04,六4
3.14,3.14
4,4
6,6
6.4,6.4
8,8
8,8
9,9
9.21,9.21
21,贰拾壹
21,貳①
23,23
35,35
35,35
35,35
64,64
64,64
64,64
89,89
89,89
289,289
289,289
301,301
301,301
631,631
631,631
631,631
711,711
1959,1959年
1989,1989
1989,1989年
1989,1玖8玖
1989,1989
1989,一九八九
6424,6424
6424,6424
8964,8964
9/18/1931,九一八
3/6/2002,三月九十六号
3/13/2014,3月13日
3/20/2014,3月20日
5/4/2014,五四
5/5/2014,2005年5月
6/4/2014,六肆
6/4/2014,六月四日
6/4/2014,六厶
6/4/2015,6/4/2015
6/1/2016,非常61
6/4/2016,六泗
2.45E+09,2.45E+09
2.70E+09,27亿
 Deng Zhuodired third generation,邓卓棣红三代
" Global ""New Era of Culture and Humanity"" photography contest",全球人文纪元
 impact  central government offices,冲击＋政总
 imperial palace housekeeper,令计划＋大内总管
 Mao  settle accounts,毛＋清算
-ism,主义
08 Charter,零8宪章
08 county,08县长
08 county head sounds like Charter 08,08县长
1 July Parade ,七一大遊行
13  homicide case,13命案
158 names of people petition from all walks of life related to Uyghurs,158名各界人士关于维吾尔
"16,489 pro ",六四八九民运
16th Party Congress,16大
17th  CCP,十七届中央
17th CCP ,十七届中央
17th Party Congress,十七大
17th Party Congress ,十七大
18  postpone,18延期
18 adult game ban ,18禁成人游戏
18 ban,18禁
18 ban erotic movie,18禁情色电影
18 ban porn movies,18禁色情电影
18 big and thin,18大薄
18 extension,18延期
18 years ,十八岁禁入
18-year-old ban on entry,18岁禁入
18-year-old mistress,18岁情妇
18-year-old mistress,18岁情妇
18big  Bo,18大薄
18th anniversary of June 4th ,六四18週年
18th National Congress of the Communist Party of China,18大
18th National Congress Standing Committee ,十八常委内幕
18th Party Congress,十八大
18th Party Congress,十八大
1989 Democracy Movement,八九民运
1989 demonstration ,游行八九
1989 movement,八九運動
1989 rememberance and calling out of names,一九八九 记忆的呼唤
1989 student movement,八九學運
1994 naval incident between US and China ,黄海事件
2 ^ 6,2的6次方
2 million outside of the system,体制外200万
2 million outside of the system ,体制外200万
2.7 billion,27亿
2.7b,2.7b
200  bury alive,200活埋
200 buried alive,200活埋
2000  Yu the Great Controls the Waters,2000大禹治水
2000 Yu the Great Controlls the Waters,2000大禹治水
2003 July March in Hong Kong ,2003年香港七一游行
2007 District Council Election ,2007年區議會選舉
2007 Hong Kong Distric Council Election ,2007年香港區議會選舉
2007 march against the Congress rejected universal suffrage,2007年反對人大否決普選遊行
2007 march against the Congress rejected universal suffrage,2007年反对人大否决普选游行
2008 Tibetan protests,2008年藏人抗议事件
2010 Chinese anti-Japanese protests ,2010年中国反日示威活动
2010 Nobel Peace Prize ,2010年诺贝尔和平奖
2011 Hang deep line EMU train rear-end accident ,2011年杭深线动车组列车追尾事故
2011 Inner Mongolia protest events ,2011年内蒙古抗议示威事件
2011 Lufeng Wukan,2011年陸豐烏坎事件
2011 Ningbo Tai Zhou Wen Zhou Railway train rear-end accident ,2011年甬台温铁路列车追尾
2011 oscars,2011奥斯卡
2011 Wen Zhou motor car rear-end accident ,2011年温州动车追尾事件
2012 cases of corruption People's Republic of China,2012年中华人民共和国腐败案件
2012 Chinese new passport storm ,2012年中国新版护照风波
2012 dual universal suffrage ,2012年双普选
2012 dual universal suffrage ,2012年雙普選
2012 human extinction ,2012年人類滅亡說
2012 pairs in 2008 to fight for universal suffreage parade ,2008年爭取2012雙普選大遊行
2012 ROC presidential election,2012年中华民国总统选举
2012 Tibetan riots ,2012年藏区骚乱
2013 earthquake in Ya-an,2013年雅安地震
2013 New Year message to be pruned matter Weekend ,2013年南方周末新年献词被删改事
2013 Souther Weekend New Year message ,2013年《南方周末》新年献词
2013 Southern Weekend New Year's special event is excision ,2013年《南方周末》新年特刊被删改事件
2013 Southern Weekend New Year's special to be deleted ,2013年《南方周末》新年特刊被删
20th Anniversary Internet Meeting,20周年网络大会
20th anniversay Tianmen square march ,20th_anniversary_Tiananmen_square_incident_march
20th Chinese People's Liberation Army,中国人民解放军第20集团军
21st Century Adult Online,21世纪成人在线
22 anniversary,22周年
22 years ago,二十二年前
22-year anniversary,22周年
